Date,Exp. Day,# Alive Tub 1,# Alive Tub 2,# Alive Tub 3,# Alive Tub 4,# Alive Tub 5,# Alive Tub 6,,% Alive Tub 1,% Alive Tub 2,% Alive Tub 3,% Alive Tub 4,% Alive Tub 5,% Alive Tub 6
pH treatment,,ambient,ambient,ambient,pH 7.8,pH 7.8,pH 7.8,,ambient,ambient,ambient,pH 7.8,pH 7.8,pH 7.8
Temp treatment,,ambient,ambient +4,ambient +2,ambient,ambient +2,ambient +4,,ambient,ambient +4,ambient +2,ambient,ambient +2,ambient +4
2012-09-19 00:00:00,46,29,28,29,30,30,27,,96.66666666666667,100,96.66666666666667,100,100,93.10344827586206
2012-09-20 00:00:00,47,29,28,29,30,30,27,,96.66666666666667,100,96.66666666666667,100,100,93.10344827586206
2012-09-21 00:00:00,48,29,28,29,30,30,27,,96.66666666666667,100,96.66666666666667,100,100,93.10344827586206
2012-09-22 00:00:00,49,29,28,29,30,30,26,,96.66666666666667,100,96.66666666666667,100,100,89.65517241379311
2012-09-23 00:00:00,50,29,28,29,30,30,25,,96.66666666666667,100,96.66666666666667,100,100,86.20689655172413
2012-09-24 00:00:00,51,29,27,29,30,30,25,,96.66666666666667,96.42857142857143,96.66666666666667,100,100,86.20689655172413
2012-09-25 00:00:00,52,29,25,29,30,30,25,,96.66666666666667,89.28571428571429,96.66666666666667,100,100,86.20689655172413
2012-09-26 00:00:00,53,28,24,29,30,30,25,,93.33333333333333,85.71428571428571,96.66666666666667,100,100,86.20689655172413
2012-09-27 00:00:00,54,28,24,29,30,30,24,,93.33333333333333,85.71428571428571,96.66666666666667,100,100,82.75862068965517
2012-09-28 00:00:00,55,28,24,27,30,30,24,,93.33333333333333,85.71428571428571,90,100,100,82.75862068965517
2012-09-29 00:00:00,56,28,24,27,30,30,24,,93.33333333333333,85.71428571428571,90,100,100,82.75862068965517
2012-09-30 00:00:00,57,28,24,27,30,30,23,,93.33333333333333,85.71428571428571,90,100,100,79.3103448275862
2012-10-01 00:00:00,58,28,24,26,30,29,23,,93.33333333333333,85.71428571428571,86.66666666666667,100,96.66666666666667,79.3103448275862
2012-10-02 00:00:00,59,28,24,26,30,29,22,,93.33333333333333,85.71428571428571,86.66666666666667,100,96.66666666666667,75.86206896551724
2012-10-03 00:00:00,60,28,24,25,30,28,22,,93.33333333333333,85.71428571428571,83.33333333333334,100,93.33333333333333,75.86206896551724
2012-10-04 00:00:00,61,27,24,24,28,26,21,,90,85.71428571428571,80,93.33333333333333,86.66666666666667,72.41379310344827
2012-10-05 00:00:00,62,27,23,24,28,26,20,,90,82.14285714285714,80,93.33333333333333,86.66666666666667,68.96551724137932
2012-10-06 00:00:00,63,27,23,22,28,26,20,,90,82.14285714285714,73.33333333333333,93.33333333333333,86.66666666666667,68.96551724137932
2012-10-07 00:00:00,64,26,23,21,27,26,20,,86.66666666666667,82.14285714285714,70,90,86.66666666666667,68.96551724137932
2012-10-08 00:00:00,65,26,23,21,27,26,20,,86.66666666666667,82.14285714285714,70,90,86.66666666666667,68.96551724137932
2012-10-09 00:00:00,66,26,23,20,27,25,19,,86.66666666666667,82.14285714285714,66.66666666666666,90,83.33333333333334,65.51724137931035
2012-10-10 00:00:00,67,26,23,19,27,25,19,,86.66666666666667,82.14285714285714,63.33333333333333,90,83.33333333333334,65.51724137931035
2012-10-11 00:00:00,68,26,23,19,25,23,19,,86.66666666666667,82.14285714285714,63.33333333333333,83.33333333333334,76.66666666666667,65.51724137931035
2012-10-12 00:00:00,69,26,23,19,25,23,19,,86.66666666666667,82.14285714285714,63.33333333333333,83.33333333333334,76.66666666666667,65.51724137931035
2012-10-13 00:00:00,70,26,23,19,25,23,19,,86.66666666666667,82.14285714285714,63.33333333333333,83.33333333333334,76.66666666666667,65.51724137931035
2012-10-14 00:00:00,71,25,23,19,24,23,19,,83.33333333333334,82.14285714285714,63.33333333333333,80,76.66666666666667,65.51724137931035
2012-10-15 00:00:00,72,24,23,19,22,23,19,,80,82.14285714285714,63.33333333333333,73.33333333333333,76.66666666666667,65.51724137931035
2012-10-16 00:00:00,73,24,23,19,22,23,18,,80,82.14285714285714,63.33333333333333,73.33333333333333,76.66666666666667,62.06896551724138
2012-10-17 00:00:00,74,24,23,18,22,23,18,,80,82.14285714285714,60,73.33333333333333,76.66666666666667,62.06896551724138
2012-10-18 00:00:00,75,24,23,18,20,23,18,,80,82.14285714285714,60,66.66666666666666,76.66666666666667,62.06896551724138
2012-10-19 00:00:00,76,24,22,18,20,23,16,,80,78.57142857142857,60,66.66666666666666,76.66666666666667,55.172413793103445
