Tub,Insert #,Treatment pH,Treatment temp C,Initial CL mm,CL 1 mm,CL 2 mm,CL 3 mm,CL 4 mm,CL 5 mm,End CL mm,% increase initial & CL1,% increase CL1 & CL2,% increase CL2 & CL3,% increase CL3 & CL4,% increase CL4 & CL5
3,12,Ambient,Ambient +2,3.038751,3.543679,3.623015,3.593617,,,3.593617,16.616300578757524,2.2388032324598273,-0.8114236347351594,,
3,13,Ambient,Ambient +2,3.019992,3.602794,3.19161,,,,,19.29813059107442,-11.412920083690603,,,
3,14,Ambient,Ambient +2,3.200499,3.871798,4.228986,,,,,20.97482298854022,9.225377976846929,,,
3,15,Ambient,Ambient +2,2.978136,3.609578,3.878552,4.055506,,,,21.202591150974968,7.451674406260235,4.562372761793584,,
3,16,Ambient,Ambient +2,3.076662,3.516382,3.708981,,,,,14.2921126857614,5.477192182191808,,,
3,17,Ambient,Ambient +2,3.010889,3.418179,,,,,,13.527233983052836,,,,
3,18,Ambient,Ambient +2,2.948551,3.688084,3.897828,,,,,25.081234816694696,5.687072203344614,,,
3,19,Ambient,Ambient +2,2.781153,3.481507,,,,,,25.182145678429052,,,,
3,20,Ambient,Ambient +2,3.190664,3.928259,,,,,,23.11728843902085,,,,
3,21,Ambient,Ambient +2,3.045465,3.728545,3.994434,4.034699,,,4.034699,22.429415540812318,7.131173151993607,1.0080276705035,,
3,22,Ambient,Ambient +2,3.105087,3.856448,4.150251,,,,,24.197743895742686,7.61848727118841,,,
3,23,Ambient,Ambient +2,3.044406,3.586205,3.858842,4.211869,,,4.211869,17.79654224830723,7.6023819051058155,9.148521758600118,,
3,24,Ambient,Ambient +2,3.25879,3.967114,4.287217,,,,,21.735797642683334,8.068913572939925,,,
3,25,Ambient,Ambient +2,,3.28552,3.322708,,,,,,1.131875623949938,,,
3,26,Ambient,Ambient +2,3.034999,3.705488,,,,,,22.091901842471774,,,,
3,27,Ambient,Ambient +2,3.080622,,,,,,,,,,,
3,28,Ambient,Ambient +2,3.031872,3.496842,3.660784,,,,,15.336069596605665,4.688287317528216,,,
3,29,Ambient,Ambient +2,2.947936,,,,,,,,,,,
3,30,Ambient,Ambient +2,2.784712,,3.079945,,,,,,,,,
4,1,7.8,Ambient ,3.256956,,4.124726,4.057691,,,4.057691,,,-1.6251988616940796,,
4,2,7.8,Ambient,2.921042,3.570589,,,,,,22.236825078174164,,,,
4,3,7.8,Ambient ,2.788766,,,,,,,,,,,
4,4,7.8,Ambient ,3.221214,3.983345,4.274978,4.391725,,,4.391725,23.65974443175772,7.321309100768325,2.7309380305582898,,
4,5,7.8,Ambient ,3.323253,4.086304,,,,,,22.960966258061013,,,,
4,6,7.8,Ambient ,2.923978,3.727996,3.871207,4.033128,4.530517,,4.530517,27.49740251123641,3.841500902897964,4.182700640911207,12.332586518454166,
4,7,7.8,Ambient ,,3.58737,3.742484,4.199846,,,4.199846,,4.323891876221304,12.220813769678102,,
4,8,7.8,Ambient ,3.338186,4.245175,4.682226,4.471885,,,4.471885,27.170115745497704,10.29524106780051,-4.4923290759566,,
4,9,7.8,Ambient ,3.34559,3.954067,,,,,,18.187434802232197,,,,
4,10,7.8,Ambient ,"2.972134
",3.504415,3.846685,,,,,,9.766822707927004,,,
4,11,7.8,Ambient ,,3.659676,,,,,,,,,,
4,12,7.8,Ambient ,3.13644,3.786309,,,,,,20.719956383670667,,,,
4,13,7.8,Ambient ,2.9658,,,,,,,,,,,
4,14,7.8,Ambient ,2.974347,3.420384,3.754836,,,,,14.996131924082833,9.7782003424177,,,
4,15,7.8,Ambient ,3.097978,3.790724,3.934198,,,,3.934198,22.361230454186572,3.78487064740139,,,
4,16,7.8,Ambient ,2.868639,3.325253,3.459324,,,,,15.917443777345289,4.031903737850926,,,
4,17,7.8,Ambient ,,3.764532,3.755618,,,,,,-0.2367890616947835,,,
4,18,7.8,Ambient ,3.02141,3.647512,3.662966,3.986502,,,3.986502,20.722179379825974,0.42368606326723746,8.832623617036038,,
4,19,7.8,Ambient ,2.701203,3.708956,4.102369,,,,4.102369,37.30756259340746,10.607108846802179,,,
4,20,7.8,Ambient ,3.021313,3.478919,3.636064,,,,,15.14593158669756,4.5170640650156075,,,
4,21,7.8,Ambient ,2.787666,3.142579,3.243878,,,,,12.73154674914426,3.2234352740217522,,,
4,22,7.8,Ambient ,2.969233,3.297201,3.433916,,,,,11.04554610567779,4.14639568531006,,,
4,23,7.8,Ambient ,,3.864402,3.5383,,,,,,-8.438614823199037,,,
4,25,7.8,Ambient ,3.056017,3.503359,3.697125,,,,,14.638073021190651,5.530863379973337,,,
4,26,7.8,Ambient ,3.769669,,,,,,,,,,,
4,27,7.8,Ambient ,3.030302,4.167013,4.533995,,,,,37.511475753901756,8.806835975793696,,,
4,28,7.8,Ambient ,3.0436,3.715978,3.587711,,,,,22.091536338546447,-3.4517696283454775,,,
4,29,7.8,Ambient ,3.338383,4.215903,4.621667,,,,,26.28577967237432,9.624604740668854,,,
4,30,7.8,Ambient ,3.024431,,3.520424,,,,,,,,,
5,1,7.8,Ambient +2,3.009999,,4.330466,4.334268,4.604955,,4.604955,,,0.08779655584409199,6.2452760189263925,
5,2,7.8,Ambient +2,3.241293,4.068213,4.496594,,,,,25.5120410280712,10.529955044143458,,,
5,3,7.8,Ambient +2,,,3.611375,3.761008,,,3.761008,,,4.143380291440245,,
5,4,7.8,Ambient +2,3.043619,3.639441,,,,,,19.576103316479497,,,,
5,5,7.8,Ambient +2,2.986134,3.311738,,,,,,10.90386432758879,,,,
5,6,7.8,Ambient +2,2.978869,3.620967,4.000351,4.098932,,,4.098932,21.555093560676884,10.477422191364914,2.4643087569065654,,
5,7,7.8,Ambient +2,3.411366,4.372294,4.463625,,,,,28.16842285465705,2.0888577026156123,,,
5,8,7.8,Ambient +2,2.989216,3.305124,,,,,,10.568256024322107,,,,
5,9,7.8,Ambient +2,3.380839,4.383185,4.769569,,,,4.769569,29.647847767965295,8.815142413564557,,,
5,10,7.8,Ambient +2,3.041074,3.365424,3.528569,,,,,10.665639836452513,4.84768041114582,,,
5,11,7.8,Ambient +2,3.121386,3.611328,3.851267,,,,,15.696296452921862,6.644065562585292,,,
5,12,7.8,Ambient +2,2.519211,2.824501,3.21818,,,,,12.118476777054415,13.938001792174958,,,
5,13,7.8,Ambient +2,,2.956615,3.077588,,,,,,4.091604757467569,,,
5,14,7.8,Ambient +2,2.853071,,,,,,,,,,,
5,15,7.8,Ambient +2,3.220246,3.857431,4.20631,4.433466,4.726425,,4.726425,19.786842371669746,9.044335465754285,5.400362788287119,6.607900004195358,
5,16,7.8,Ambient +2,2.767567,3.091394,,,,,,11.700782673012073,,,,
5,17,7.8,Ambient +2,3.100881,3.632826,3.88295,,,,,17.154640890766203,6.885108177490472,,,
5,18,7.8,Ambient +2,2.74355,,,,,,,,,,,
5,19,7.8,Ambient +2,3.032654,3.399341,3.680244,,,,,12.091290335132204,8.263454593110838,,,
5,20,7.8,Ambient +2,2.963306,3.230648,,,,,,9.021748007124467,,,,
5,21,7.8,Ambient +2,3.085242,3.671496,3.837378,3.836421,,,3.836421,19.001880565608786,4.518103792023751,-0.024938903595113554,,
5,22,7.8,Ambient +2,,3.737333,3.782651,3.857387,,,3.857387,,1.2125759197802275,1.9757572136578325,,
5,23,7.8,Ambient +2,3.088976,3.626109,3.830092,,,,,17.388707455156656,5.6253962580827,,,
5,24,7.8,Ambient +2,2.923551,3.248685,3.370045,3.270087,,,3.270087,11.12120157985957,3.7356653538277835,-2.9660731533258455,,
5,26,7.8,Ambient +2,3.09074,3.65114,3.922114,4.017184,4.31935,,4.31935,,7.421627217800475,2.4239479015653345,7.521836191720362,
5,27,7.8,Ambient +2,,3.731785,3.721621,4.04776,4.401855,,4.401855,,-0.2723629576730723,8.763358762216798,8.747924778148903,
5,28,7.8,Ambient +2,3.115009,3.859553,,,,,,23.901825002752798,,,,
5,29,7.8,Ambient +2,2.953755,3.468591,3.593137,3.684208,,,,17.429881625253273,3.5906799043184985,2.534581898769791,,
5,30,7.8,Ambient +2,3.071072,3.765745,4.206251,4.153715,4.249126,,,22.619886476122993,11.6977118737461,-1.248998217177242,2.2970040072561635,
6,1,7.8,Ambient +4,3.167679,3.810023,,,,,,20.27806479128725,,,,
6,2,7.8,Ambient +4,3.087119,3.683713,,,,,,19.32526734473145,,,,
6,3,7.8,Ambient +4,3.242195,3.949222,4.057566,4.0844,,,,21.80704738610724,2.7434264267746857,0.6613324342721727,,
6,4,7.8,Ambient +4,2.971174,3.561841,3.827429,,,,,19.879919520028107,7.456481072568938,,,
6,5,7.8,Ambient +4,2.8281,3.242481,3.233607,,,,,14.652275379229875,-0.27367932148253293,,,
6,6,7.8,Ambient +4,3.257331,,,,,,,,,,,
6,7,7.8,Ambient +4,3.066131,,,,,,,,,,,
6,8,7.8,Ambient +4,2.966309,3.442936,3.106925,,,,,16.068015840561458,-9.759432066120313,,,
6,9,7.8,Ambient +4,2.753695,,,,,,,,,,,
6,10,7.8,Ambient +4,3.207344,3.942805,4.219329,,,,,22.930530682084612,7.013382604516333,,,
6,11,7.8,Ambient +4,2.926671,,,,,,,,,,,
6,12,7.8,Ambient +4,3.331686,3.86028,4.212862,,,,,15.865660809572091,9.133586164734176,,,
6,13,7.8,Ambient +4,3.096673,3.480371,3.5121,,,,,12.390652807060993,0.9116556826844133,,,
6,14,7.8,Ambient +4,2.984908,3.524783,3.514474,,,,,18.08682210640999,-0.2924719053626945,,,
6,15,7.8,Ambient +4,3.293666,3.664467,,3.762682,3.950572,,3.950572,11.2580024811259,,,4.993512606167632,
6,16,7.8,Ambient +4,,,3.23623,,,,,,,,,
6,17,7.8,Ambient +4,3.068058,3.436155,3.551726,,,,,11.997719730200657,3.363381453979814,,,
6,18,7.8,Ambient +4,3.026992,3.397168,3.381434,,,,,12.229170080396655,-0.463150482990542,,,
6,19,7.8,Ambient +4,3.146685,3.74041,3.910041,,,,,18.86826930563433,4.535091072903781,,,
6,20,7.8,Ambient +4,3.116456,,,,,,,,,,,
6,21,7.8,Ambient +4,3.30438,4.147414,,,,,,25.512622640253248,,,,
6,22,7.8,Ambient +4,3.383264,,,,,,,,,,,
6,23,7.8,Ambient +4,3.171267,3.86028,,,,,,21.726742024559904,,,,
6,24,7.8,Ambient +4,2.929106,3.299343,,,,,,12.639931774404884,,,,
6,25,7.8,Ambient +4,3.428778,4.167757,4.598798,4.64351,,,,21.55225564326416,10.342277632789063,0.9722540542115491,,
6,26,7.8,Ambient +4,3.118595,3.450407,,,,,,10.639791316281844,,,,
6,27,7.8,Ambient +4,3.174533,3.953577,4.446158,,,,,24.540428466171253,12.459122460495887,,,
6,28,7.8,Ambient +4,2.3912,2.638215,,,,,,10.33016895282704,,,,
6,29,7.8,Ambient +4,3.162218,3.836922,,,,,,21.336416401399262,,,,
6,30,7.8,Ambient +4,3.08363,3.66469,,,,,,18.843376150835216,,,,
