Tub,Insert #,pH treatment,Temp treatment,IM,Days ,Degree Days 
5,14,7.8,ambient +2,1st,44,566.1244166666668
5,15,7.8,ambient +2,1st,29,388.72512499999993
5,15,7.8,ambient +2,2nd,42,511.0700416666669
5,17,7.8,ambient +2,1st,38,501.1523541666668
5,19,7.8,ambient +2,1st,37,486.96685416666674
5,20,7.8,ambient +2,1st,37,486.3292916666668
5,21,7.8,ambient +2,1st,34,453.800375
5,21,7.8,ambient +2,2nd,88,939.5454166666665
5,22,7.8,ambient +2,1st,41,533.9308958333334
5,22,7.8,ambient +2,2nd,72,739.8180416666664
5,23,7.8,ambient +2,1st,37,488.6056041666668
5,24,7.8,ambient +2,1st,36,476.15283333333343
5,24,7.8,ambient +2,2nd,84,879.8905416666663
5,25,7.8,ambient +2,1st,40,521.0105416666668
5,25,7.8,ambient +2,2nd,94,920.9642708333331
5,26,7.8,ambient +2,1st,32,428.5139166666666
5,26,7.8,ambient +2,2nd,55,641.725625
5,27,7.8,ambient +2,1st,36,472.90202083333344
5,27,7.8,ambient +2,2nd,50,553.7224166666666
5,28,7.8,ambient +2,1st,40,524.3594375
5,29,7.8,ambient +2,1st,40,526.4790416666668
5,29,7.8,ambient +2,2nd,82,846.5597708333331
5,30,7.8,ambient +2,1st,30,401.1435833333333
5,30,7.8,ambient +2,2nd,38,472.9081458333335
6,1,7.8,ambient +4,1st,27,403.67768749999993
6,2,7.8,ambient +4,1st,28,416.83679166666667
6,3,7.8,ambient +4,1st,33,492.61658333333327
6,3,7.8,ambient +4,2nd,51,703.1838958333334
6,4,7.8,ambient +4,1st,25,374.2408333333332
6,5,7.8,ambient +4,1st,29,431.56597916666664
6,8,7.8,ambient +4,1st,30,448.04004166666664
6,10,7.8,ambient +4,1st,27,403.92799999999994
6,12,7.8,ambient +4,1st,26,388.83118749999994
6,13,7.8,ambient +4,1st,36,532.2892708333334
6,14,7.8,ambient +4,1st,31,461.16204166666665
6,15,7.8,ambient +4,1st,32,474.72985416666677
6,15,7.8,ambient +4,2nd,62,808.9202291666667
6,16,7.8,ambient +4,1st,82,1139.299604166667
6,17,7.8,ambient +4,1st,30,445.81404166666664
6,17,7.8,ambient +4,2nd,72,934.7218750000002
6,18,7.8,ambient +4,1st,34,504.6157083333335
6,19,7.8,ambient +4,1st,29,432.9154791666666
6,20,7.8,ambient +4,1st,26,388.83118749999994
6,23,7.8,ambient +4,1st,27,403.8243124999999
6,25,7.8,ambient +4,1st,27,403.92799999999994
6,25,7.8,ambient +4,2nd,44,631.0105208333334
6,27,7.8,ambient +4,1st,19,283.499875
6,27,7.8,ambient +4,2nd,37,540.6567916666667
6,28,7.8,ambient +4,1st,22,327.65968749999996
6,29,7.8,ambient +4,1st,25,374.0455208333333
6,30,7.8,ambient +4,1st,28,417.6690625
