Tub #,Date,Salinity ppt,Comments
13,2012-08-08 00:00:00,32.2,
14,2012-08-08 00:00:00,32.1,
15,2012-08-08 00:00:00,32.1,
1,2012-08-09 00:00:00,32.2,
2,2012-08-09 00:00:00,32.1,
3,2012-08-09 00:00:00,32.1,
4,2012-08-09 00:00:00,32.2,
5,2012-08-09 00:00:00,32.1,
6,2012-08-09 00:00:00,32.2,
7,2012-08-09 00:00:00,32.1,
8,2012-08-09 00:00:00,32.1,
9,2012-08-09 00:00:00,32.1,
10,2012-08-09 00:00:00,32.2,
11,2012-08-09 00:00:00,32,
12,2012-08-09 00:00:00,32.2,
13,2012-08-09 00:00:00,32.2,
14,2012-08-09 00:00:00,32.2,
15,2012-08-09 00:00:00,32.1,
1,2012-08-10 00:00:00,32.3,End Genetics Exp. No more tubs 7-15. 
2,2012-08-10 00:00:00,32.3,
3,2012-08-10 00:00:00,32.1,
4,2012-08-10 00:00:00,32.2,
5,2012-08-10 00:00:00,32.2,
6,2012-08-10 00:00:00,32.1,
7,2012-08-10 00:00:00,32.2,
8,2012-08-10 00:00:00,32.1,
9,2012-08-10 00:00:00,32,
10,2012-08-10 00:00:00,32.2,
11,2012-08-10 00:00:00,32.2,
12,2012-08-10 00:00:00,31.9,
13,2012-08-10 00:00:00,32.1,
14,2012-08-10 00:00:00,32.2,
15,2012-08-10 00:00:00,32.1,
1,2012-08-11 00:00:00,32,
2,2012-08-11 00:00:00,32.1,
3,2012-08-11 00:00:00,31.9,
4,2012-08-11 00:00:00,32,
5,2012-08-11 00:00:00,32.1,
6,2012-08-11 00:00:00,31.9,
1,2012-08-12 00:00:00,30.4,
2,2102-08-12 00:00:00,32.2,
3,2192-08-12 00:00:00,32.1,
4,2282-08-12 00:00:00,31.6,
5,2372-08-12 00:00:00,32,
6,2462-08-12 00:00:00,32.1,
1,2012-08-13 00:00:00,32.1,
2,2012-08-13 00:00:00,32.2,
3,2012-08-13 00:00:00,32.1,
4,2012-08-13 00:00:00,32.1,
5,2012-08-13 00:00:00,32.1,
6,2012-08-13 00:00:00,32,
1,2012-08-14 00:00:00,32.2,
2,2012-08-14 00:00:00,32.2,
3,2012-08-14 00:00:00,32.1,
4,2012-08-14 00:00:00,32,
5,2012-08-14 00:00:00,32.2,
6,2012-08-14 00:00:00,32.1,
1,2012-08-15 00:00:00,31.9,
2,2012-08-15 00:00:00,32,
3,2012-08-15 00:00:00,32.1,
4,2012-08-15 00:00:00,32,
5,2012-08-15 00:00:00,32.1,
6,2012-08-15 00:00:00,32.1,
1,2012-08-16 00:00:00,32,
2,2012-08-16 00:00:00,32.2,
3,2012-08-16 00:00:00,32.1,
4,2012-08-16 00:00:00,32,
5,2012-08-16 00:00:00,32.3,
6,2012-08-16 00:00:00,31.8,
1,2012-08-17 00:00:00,31.8,
2,2012-08-17 00:00:00,32.2,
3,2012-08-17 00:00:00,31.9,
4,2012-08-17 00:00:00,31.9,
5,2012-08-17 00:00:00,32.1,
6,2012-08-17 00:00:00,31.9,
1,2012-08-18 00:00:00,31.6,
2,2012-08-18 00:00:00,31.8,
3,2012-08-18 00:00:00,31.8,
4,2012-08-18 00:00:00,32.1,
5,2012-08-18 00:00:00,32,
6,2012-08-18 00:00:00,31.6,
1,2012-08-19 00:00:00,30.5,
2,2012-08-19 00:00:00,31.8,
3,2012-08-19 00:00:00,31.8,
4,2012-08-19 00:00:00,31.7,
5,2012-08-19 00:00:00,31.8,
6,2012-08-19 00:00:00,31.9,
1,2012-08-20 00:00:00,31.8,
2,2012-08-20 00:00:00,32.3,
3,2012-08-20 00:00:00,31.8,
4,2012-08-20 00:00:00,31.9,
5,2012-08-20 00:00:00,32,
6,2012-08-20 00:00:00,31.7,
1,2012-08-21 00:00:00,31.9,
2,2012-08-21 00:00:00,32,
3,2012-08-21 00:00:00,31.9,
4,2012-08-21 00:00:00,31.9,
5,2012-08-21 00:00:00,31.9,
6,2012-08-21 00:00:00,31.9,
1,2012-08-22 00:00:00,31.8,
2,2012-08-22 00:00:00,32.1,
3,2012-08-22 00:00:00,31.9,
4,2012-08-22 00:00:00,31.9,
